C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.545935	0.250147	-1.369375	1.188410	-1.100754	-0.547515	-0.211253	1.368338	-1.182984	1.103143	0.545918	0.250149	-1.369386	1.188352	-1.100784	-0.547512	-0.211226	1.368393	-1.182933	1.103123	0.021100	-0.014110	0.048427	-0.022495	-0.045992	-0.037605	-0.011156	-0.000147	0.000467	-0.082272	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013937	0.012215	-5.663965	-0.000179	0.000912	0.000431	-0.124350	0.100434	9.829373	1.000000	0.000000	0.000000	0.000000	
0.536911	0.248989	-1.372745	1.183092	-1.083340	-0.542250	-0.208250	1.360501	-1.200033	1.061526	0.545825	0.250156	-1.371387	1.187523	-1.100785	-0.547488	-0.210855	1.370405	-1.182012	1.103219	-0.022317	-0.004901	-0.145212	-0.127876	-0.060433	-0.035167	0.015169	0.153529	0.038433	-0.036144	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013937	0.012215	-5.663965	-0.000178	0.000912	0.000431	-0.124347	0.100434	9.829373	1.000000	0.000000	0.000000	0.000000	
0.529357	0.247706	-1.376823	1.180716	-1.068757	-0.537382	-0.206759	1.353436	-1.215404	1.029792	0.545733	0.250157	-1.373290	1.186364	-1.100736	-0.547459	-0.210619	1.372019	-1.180737	1.103239	-0.051087	0.005326	-0.182024	-0.166331	0.032343	-0.048882	0.027108	0.078166	0.052698	-0.097835	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013937	0.012215	-5.663965	-0.000178	0.000912	0.000431	-0.124347	0.100434	9.829373	1.000000	0.000000	0.000000	0.000000	
0.523750	0.246662	-1.381409	1.181096	-1.057795	-0.532863	-0.207763	1.346400	-1.223989	1.017627	0.545012	0.250133	-1.376749	1.184726	-1.099006	-0.547187	-0.210168	1.372899	-1.180870	1.098299	-0.040005	-0.008773	-0.255497	-0.117832	0.261467	0.009070	0.027138	-0.020100	-0.148274	-0.623959	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013937	0.012215	-5.663965	-0.000178	0.000912	0.000431	-0.124347	0.100434	9.829373	1.000000	0.000000	0.000000	0.000000	
0.518358	0.244789	-1.384223	1.179978	-1.052325	-0.529630	-0.209855	1.340264	-1.228154	1.013098	0.543826	0.250039	-1.379815	1.182751	-1.094298	-0.546623	-0.209512	1.372445	-1.183296	1.087423	-0.133117	-0.018325	-0.269824	-0.126941	0.500737	-0.013051	0.032957	-0.085761	-0.248633	-1.015066	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013937	0.012215	-5.663965	-0.000178	0.000912	0.000431	-0.124347	0.100434	9.829373	1.000000	0.000000	0.000000	0.000000	
0.512799	0.242136	-1.385977	1.176482	-1.047859	-0.527877	-0.210141	1.335191	-1.232041	1.008444	0.541844	0.249762	-1.383385	1.181484	-1.084342	-0.545251	-0.209026	1.371409	-1.189645	1.074464	-0.180814	-0.053014	-0.313132	-0.110404	0.503726	0.078956	0.028886	-0.092327	-0.317992	-1.099542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013937	0.012215	-5.663965	-0.000178	0.000912	0.000431	-0.124347	0.100434	9.829373	1.000000	0.000000	0.000000	0.000000	
0.507311	0.240885	-1.388387	1.172158	-1.040004	-0.526684	-0.208000	1.330791	-1.235402	1.001153	0.538855	0.249489	-1.386886	1.180261	-1.077964	-0.544249	-0.208880	1.369554	-1.194017	1.055612	-0.220480	-0.041361	-0.310484	-0.122709	0.458660	0.046282	-0.011070	-0.173245	-0.331908	-0.692723	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013937	0.012215	-5.663965	-0.000178	0.000912	0.000431	-0.124347	0.100434	9.829373	1.000000	0.000000	0.000000	0.000000	
0.502618	0.240856	-1.392010	1.169595	-1.027842	-0.525572	-0.205612	1.327552	-1.238551	0.990017	0.535324	0.248933	-1.392820	1.179071	-1.072036	-0.543249	-0.208851	1.365863	-1.198308	1.045613	-0.217467	-0.040196	-0.257875	-0.130918	0.440194	0.056973	-0.011576	-0.251130	-0.329810	-0.676468	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013937	0.012215	-5.663965	-0.000178	0.000912	0.000431	-0.124347	0.100434	9.829373	1.000000	0.000000	0.000000	0.000000	
0.498546	0.241458	-1.395242	1.167400	-1.015301	-0.524391	-0.204437	1.325165	-1.241811	0.977481	0.531056	0.248224	-1.396091	1.176895	-1.066997	-0.542152	-0.208788	1.362992	-1.202487	1.036974	-0.266021	-0.070323	-0.217717	-0.149188	0.501161	0.072000	-0.009300	-0.237981	-0.329600	-0.639947	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013937	0.012215	-5.663965	-0.000178	0.000912	0.000431	-0.124347	0.100434	9.829373	1.000000	0.000000	0.000000	0.000000	
0.494876	0.242155	-1.397765	1.164282	-1.002887	-0.523287	-0.203554	1.323616	-1.245271	0.965268	0.526131	0.247630	-1.399145	1.174835	-1.057386	-0.540600	-0.208477	1.360067	-1.209986	1.028170	-0.354628	-0.045418	-0.185784	-0.144035	0.430486	0.118868	0.025824	-0.247135	-0.360985	-0.695618	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013937	0.012215	-5.663965	-0.000178	0.000912	0.000431	-0.124347	0.100434	9.829373	1.000000	0.000000	0.000000	0.000000	
