l_f	r_f	l_hyaw_out	l_hrol_out	l_hpit_out	l_knee_out	l_apit_out	r_hyaw_out	r_hrol_out	r_hpit_out	r_knee_out	r_apit_out	vx_cmd	yr_cmd	rol	pit	rol_rate	pit_rate	yaw_rate	C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	E_l_hyaw	E_l_hrol	E_l_hpit	E_l_knee	E_l_apit	E_r_hyaw	E_r_hrol	E_r_hpit	E_r_knee	E_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	l_sin	r_sin	l_cos	r_cos	l_pf	r_pf	vx_cmd	yr_cmd	rol	pit	rol_rate	pit_rate	yaw_rate	C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	E_l_hyaw	E_l_hrol	E_l_hpit	E_l_knee	E_l_apit	E_r_hyaw	E_r_hrol	E_r_hpit	E_r_knee	E_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	l_sin	r_sin	l_cos	r_cos	l_pf	r_pf	vx_cmd	yr_cmd	rol	pit	rol_rate	pit_rate	yaw_rate	C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	E_l_hyaw	E_l_hrol	E_l_hpit	E_l_knee	E_l_apit	E_r_hyaw	E_r_hrol	E_r_hpit	E_r_knee	E_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	l_sin	r_sin	l_cos	r_cos	l_pf	r_pf	
1.184711	1.491810	-0.602724	-0.084572	-0.217039	-0.390875	1.270531	0.348154	0.166763	-0.540304	-1.133703	-3.020305	0.000000	0.000000	-0.013929	0.012215	-0.000097	0.000455	0.000215	-0.004078	0.000147	-0.019433	-0.011625	-0.000756	0.002492	0.008774	0.018393	0.017067	0.003152	0.001619	-0.001520	-0.004282	0.001878	0.000715	-0.002656	-0.001060	-0.004956	-0.002306	-0.009638	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013935	0.012215	-0.000090	0.000456	0.000216	-0.004102	0.000155	-0.019434	-0.011624	-0.000779	0.002489	0.008774	0.018393	0.017067	0.003128	-0.003328	-0.000152	-0.003918	0.001933	-0.004116	-0.002708	0.000476	-0.000147	0.000467	-0.008990	0.000024	-0.000008	0.000001	-0.000001	0.000023	0.000004	0.000000	0.000000	-0.000000	0.000024	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004082	0.000149	-0.019386	-0.011648	-0.000784	0.002488	0.008774	0.018393	0.017067	0.003123	0.002110	-0.001411	0.004843	-0.002249	-0.004599	-0.003760	-0.001116	-0.000015	0.000047	-0.008227	0.000017	-0.000002	0.000011	0.000058	0.000030	-0.000003	-0.000026	-0.000055	-0.000051	0.000020	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.186177	1.492965	-0.609941	-0.078257	-0.227787	-0.359485	1.177040	0.355890	0.202991	-0.529735	-1.152441	-2.813082	-0.000000	-0.000000	-0.013935	0.012215	-0.000090	0.000456	0.000216	-0.004102	0.000155	-0.019434	-0.011624	-0.000779	0.002489	0.008774	0.018393	0.017067	0.003128	-0.003328	-0.000152	-0.003918	0.001933	-0.004116	-0.002708	0.000476	-0.000147	0.000467	-0.008990	0.000024	-0.000008	0.000001	-0.000001	0.000023	0.000004	0.000000	0.000000	-0.000000	0.000024	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004082	0.000149	-0.019386	-0.011648	-0.000784	0.002488	0.008774	0.018393	0.017067	0.003123	0.002110	-0.001411	0.004843	-0.002249	-0.004599	-0.003760	-0.001116	-0.000015	0.000047	-0.008227	0.000017	-0.000002	0.000011	0.000058	0.000030	-0.000003	-0.000026	-0.000055	-0.000051	0.000020	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004175	0.000156	-0.021387	-0.012477	-0.000785	0.002512	0.009145	0.020405	0.017988	0.003219	-0.002232	-0.000490	-0.014521	-0.012788	-0.006043	-0.003517	0.001517	0.015353	0.003843	-0.003614	0.000110	-0.000009	0.002012	0.000887	0.000031	-0.000027	-0.000398	-0.002067	-0.000972	-0.000076	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.175172	1.500871	-0.505569	-0.085870	-0.272943	-0.159018	0.976005	0.325798	0.099733	-0.472853	-1.028688	-2.123835	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004082	0.000149	-0.019386	-0.011648	-0.000784	0.002488	0.008774	0.018393	0.017067	0.003123	0.002110	-0.001411	0.004843	-0.002249	-0.004599	-0.003760	-0.001116	-0.000015	0.000047	-0.008227	0.000017	-0.000002	0.000011	0.000058	0.000030	-0.000003	-0.000026	-0.000055	-0.000051	0.000020	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004175	0.000156	-0.021387	-0.012477	-0.000785	0.002512	0.009145	0.020405	0.017988	0.003219	-0.002232	-0.000490	-0.014521	-0.012788	-0.006043	-0.003517	0.001517	0.015353	0.003843	-0.003614	0.000110	-0.000009	0.002012	0.000887	0.000031	-0.000027	-0.000398	-0.002067	-0.000972	-0.000076	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004267	0.000157	-0.023290	-0.013636	-0.000736	0.002541	0.009381	0.022019	0.019263	0.003239	-0.005109	0.000533	-0.018202	-0.016633	0.003234	-0.004888	0.002711	0.007817	0.005270	-0.009783	-0.008822	-0.001168	0.000545	-0.003272	0.017396	0.005209	0.002369	-0.011517	-0.019296	-0.041712	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.195720	1.471277	-0.375851	-0.069984	-0.307364	0.025530	0.734816	0.302917	-0.067258	-0.471661	-0.575496	-0.815452	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004175	0.000156	-0.021387	-0.012477	-0.000785	0.002512	0.009145	0.020405	0.017988	0.003219	-0.002232	-0.000490	-0.014521	-0.012788	-0.006043	-0.003517	0.001517	0.015353	0.003843	-0.003614	0.000110	-0.000009	0.002012	0.000887	0.000031	-0.000027	-0.000398	-0.002067	-0.000972	-0.000076	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004267	0.000157	-0.023290	-0.013636	-0.000736	0.002541	0.009381	0.022019	0.019263	0.003239	-0.005109	0.000533	-0.018202	-0.016633	0.003234	-0.004888	0.002711	0.007817	0.005270	-0.009783	-0.008822	-0.001168	0.000545	-0.003272	0.017396	0.005209	0.002369	-0.011517	-0.019296	-0.041712	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004988	0.000133	-0.026749	-0.015274	0.000994	0.002813	0.009832	0.022899	0.019130	-0.001701	-0.004000	-0.000877	-0.025550	-0.011783	0.026147	0.000907	0.002714	-0.002010	-0.014827	-0.062396	-0.015655	-0.002427	-0.000075	-0.004011	0.030249	0.009805	0.003408	-0.019463	-0.034534	-0.068507	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.259820	1.469583	-0.359530	-0.124895	-0.187637	-0.074586	0.364686	0.215567	-0.139498	-0.409090	-0.277727	-0.301963	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004267	0.000157	-0.023290	-0.013636	-0.000736	0.002541	0.009381	0.022019	0.019263	0.003239	-0.005109	0.000533	-0.018202	-0.016633	0.003234	-0.004888	0.002711	0.007817	0.005270	-0.009783	-0.008822	-0.001168	0.000545	-0.003272	0.017396	0.005209	0.002369	-0.011517	-0.019296	-0.041712	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004988	0.000133	-0.026749	-0.015274	0.000994	0.002813	0.009832	0.022899	0.019130	-0.001701	-0.004000	-0.000877	-0.025550	-0.011783	0.026147	0.000907	0.002714	-0.002010	-0.014827	-0.062396	-0.015655	-0.002427	-0.000075	-0.004011	0.030249	0.009805	0.003408	-0.019463	-0.034534	-0.068507	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.006174	0.000039	-0.029815	-0.017249	0.005702	0.003377	0.010488	0.022445	0.016704	-0.012577	-0.013312	-0.001833	-0.026982	-0.012694	0.050074	-0.001305	0.003296	-0.008576	-0.024863	-0.101507	-0.020076	-0.003377	-0.001593	-0.001655	0.036503	0.013760	0.001749	-0.026045	-0.040694	-0.069796	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.314269	1.494435	-0.368420	-0.175822	-0.116252	-0.231726	0.296047	0.116215	-0.018986	-0.336246	-0.257634	-0.308455	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.004988	0.000133	-0.026749	-0.015274	0.000994	0.002813	0.009832	0.022899	0.019130	-0.001701	-0.004000	-0.000877	-0.025550	-0.011783	0.026147	0.000907	0.002714	-0.002010	-0.014827	-0.062396	-0.015655	-0.002427	-0.000075	-0.004011	0.030249	0.009805	0.003408	-0.019463	-0.034534	-0.068507	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.006174	0.000039	-0.029815	-0.017249	0.005702	0.003377	0.010488	0.022445	0.016704	-0.012577	-0.013312	-0.001833	-0.026982	-0.012694	0.050074	-0.001305	0.003296	-0.008576	-0.024863	-0.101507	-0.020076	-0.003377	-0.001593	-0.001655	0.036503	0.013760	0.001749	-0.026045	-0.040694	-0.069796	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.008156	-0.000238	-0.033385	-0.018516	0.015658	0.004749	0.010974	0.021409	0.010355	-0.025536	-0.018081	-0.005301	-0.031313	-0.011040	0.050373	0.007896	0.002889	-0.009233	-0.031799	-0.109954	-0.023486	-0.004973	-0.000838	-0.001506	0.032016	0.015620	-0.000829	-0.031145	-0.038509	-0.061366	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.352196	1.537613	-0.368243	-0.083979	-0.161705	-0.290057	0.527019	0.080047	0.143682	-0.295223	-0.225471	-0.489166	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.006174	0.000039	-0.029815	-0.017249	0.005702	0.003377	0.010488	0.022445	0.016704	-0.012577	-0.013312	-0.001833	-0.026982	-0.012694	0.050074	-0.001305	0.003296	-0.008576	-0.024863	-0.101507	-0.020076	-0.003377	-0.001593	-0.001655	0.036503	0.013760	0.001749	-0.026045	-0.040694	-0.069796	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.008156	-0.000238	-0.033385	-0.018516	0.015658	0.004749	0.010974	0.021409	0.010355	-0.025536	-0.018081	-0.005301	-0.031313	-0.011040	0.050373	0.007896	0.002889	-0.009233	-0.031799	-0.109954	-0.023486	-0.004973	-0.000838	-0.001506	0.032016	0.015620	-0.000829	-0.031145	-0.038509	-0.061366	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.011145	-0.000511	-0.036886	-0.019739	0.022036	0.005751	0.011120	0.019554	0.005983	-0.044388	-0.022048	-0.004136	-0.031048	-0.012271	0.045866	0.004628	-0.001107	-0.017325	-0.033191	-0.069272	-0.026055	-0.007352	0.000909	-0.003779	0.030105	0.016372	-0.001262	-0.034363	-0.038024	-0.047168	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.359385	1.569695	-0.313814	-0.001900	-0.242276	-0.171423	0.813304	0.074306	0.159678	-0.216581	-0.210547	-0.744709	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.008156	-0.000238	-0.033385	-0.018516	0.015658	0.004749	0.010974	0.021409	0.010355	-0.025536	-0.018081	-0.005301	-0.031313	-0.011040	0.050373	0.007896	0.002889	-0.009233	-0.031799	-0.109954	-0.023486	-0.004973	-0.000838	-0.001506	0.032016	0.015620	-0.000829	-0.031145	-0.038509	-0.061366	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.011145	-0.000511	-0.036886	-0.019739	0.022036	0.005751	0.011120	0.019554	0.005983	-0.044388	-0.022048	-0.004136	-0.031048	-0.012271	0.045866	0.004628	-0.001107	-0.017325	-0.033191	-0.069272	-0.026055	-0.007352	0.000909	-0.003779	0.030105	0.016372	-0.001262	-0.034363	-0.038024	-0.047168	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.014676	-0.001067	-0.042820	-0.020929	0.027964	0.006751	0.011149	0.015863	0.001692	-0.054387	-0.021747	-0.004020	-0.025787	-0.013092	0.044019	0.005697	-0.001158	-0.025113	-0.032981	-0.067647	-0.028014	-0.008049	0.004434	-0.006913	0.032032	0.016565	0.000851	-0.035072	-0.037094	-0.044460	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.380019	1.560582	-0.270730	0.040001	-0.214860	-0.145905	0.833738	0.078527	0.078096	-0.158701	-0.216784	-0.833458	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.011145	-0.000511	-0.036886	-0.019739	0.022036	0.005751	0.011120	0.019554	0.005983	-0.044388	-0.022048	-0.004136	-0.031048	-0.012271	0.045866	0.004628	-0.001107	-0.017325	-0.033191	-0.069272	-0.026055	-0.007352	0.000909	-0.003779	0.030105	0.016372	-0.001262	-0.034363	-0.038024	-0.047168	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.014676	-0.001067	-0.042820	-0.020929	0.027964	0.006751	0.011149	0.015863	0.001692	-0.054387	-0.021747	-0.004020	-0.025787	-0.013092	0.044019	0.005697	-0.001158	-0.025113	-0.032981	-0.067647	-0.028014	-0.008049	0.004434	-0.006913	0.032032	0.016565	0.000851	-0.035072	-0.037094	-0.044460	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.018944	-0.001776	-0.046091	-0.023106	0.033003	0.007848	0.011212	0.012992	-0.002487	-0.063026	-0.026602	-0.007032	-0.021772	-0.014919	0.050116	0.007200	-0.000930	-0.023798	-0.032960	-0.063995	-0.028438	-0.007368	0.004081	-0.007300	0.039155	0.016580	0.003176	-0.035440	-0.036064	-0.046957	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.414424	1.565706	-0.244455	0.046412	-0.168105	-0.207685	0.826933	0.073534	0.058828	-0.103213	-0.230450	-0.813471	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.014676	-0.001067	-0.042820	-0.020929	0.027964	0.006751	0.011149	0.015863	0.001692	-0.054387	-0.021747	-0.004020	-0.025787	-0.013092	0.044019	0.005697	-0.001158	-0.025113	-0.032981	-0.067647	-0.028014	-0.008049	0.004434	-0.006913	0.032032	0.016565	0.000851	-0.035072	-0.037094	-0.044460	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.018944	-0.001776	-0.046091	-0.023106	0.033003	0.007848	0.011212	0.012992	-0.002487	-0.063026	-0.026602	-0.007032	-0.021772	-0.014919	0.050116	0.007200	-0.000930	-0.023798	-0.032960	-0.063995	-0.028438	-0.007368	0.004081	-0.007300	0.039155	0.016580	0.003176	-0.035440	-0.036064	-0.046957	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.013937	0.012215	-0.000089	0.000456	0.000216	-0.023869	-0.002370	-0.049145	-0.025165	0.042614	0.009400	0.011523	0.010067	-0.009986	-0.071830	-0.035463	-0.004542	-0.018578	-0.014404	0.043049	0.011887	0.002582	-0.024713	-0.036099	-0.069562	-0.027585	-0.006172	0.003903	-0.007435	0.042085	0.016209	0.004040	-0.034902	-0.031825	-0.050689	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
